id,type,subtype2,subtype1,player1,player2,team,lon,lat,elapsed,elapsed_plus,game_id
507510,goal,shot,n,23352,34437,8667,NA,NA,45,2,1796
508038,goal,NA,p,38755,NA,10194,NA,NA,73,NA,1796
507564,goal,shot,n,27267,NA,8659,NA,NA,47,NA,1797
507809,goal,shot,n,24841,NA,8528,NA,NA,61,NA,1797
508189,goal,header,n,35472,24663,8528,NA,NA,87,NA,1797
511061,goal,NA,o,30986,NA,9825,NA,NA,31,NA,1798
511676,goal,shot,n,30843,39297,9825,NA,NA,59,NA,1798
511707,goal,shot,n,30843,30960,9825,NA,NA,62,NA,1798
517584,goal,shot,n,30865,NA,10260,NA,NA,90,1,1799
515461,goal,shot,n,30960,23678,9825,NA,NA,16,NA,1800
521882,goal,header,n,30354,30895,8586,NA,NA,68,NA,1801
521942,goal,shot,n,25421,46403,8586,NA,NA,90,NA,1801
519636,goal,distance,n,23283,38807,10252,NA,NA,1,NA,1802
519982,goal,shot,n,33086,24006,8668,NA,NA,30,NA,1802
520414,goal,shot,n,23354,NA,10252,NA,NA,54,NA,1802
520786,goal,bicycle_kick,n,33086,30876,8668,NA,NA,90,3,1802
520791,goal,shot,n,23354,23264,10252,NA,NA,90,4,1802
515383,goal,shot,n,30619,33852,10261,NA,NA,8,NA,1803
515570,goal,shot,n,30619,37799,10261,NA,NA,24,NA,1803
516225,goal,shot,n,23314,38755,10194,NA,NA,60,NA,1803
516653,goal,shot,n,40005,23253,10194,NA,NA,90,1,1803
516316,goal,NA,n,30889,NA,8650,NA,NA,69,NA,1804
516482,goal,shot,n,24800,37139,8650,NA,NA,79,NA,1804
516551,goal,header,n,30646,37764,8655,NA,NA,85,NA,1804
516667,goal,distance,n,30618,37920,8650,NA,NA,90,5,1804
514959,goal,header,n,25342,30509,8456,NA,NA,6,NA,1805
514999,goal,shot,n,24843,24741,9879,NA,NA,27,NA,1805
515390,goal,header,n,37804,25925,8455,NA,NA,9,NA,1806
515534,goal,bicycle_kick,n,30686,30699,8455,NA,NA,21,NA,1806
519492,goal,loose_ball,n,24664,NA,8659,NA,NA,39,NA,1807
519795,goal,distance,n,30830,24653,8462,NA,NA,58,NA,1807
516509,goal,shot,n,42183,33754,8549,NA,NA,79,NA,1808
516529,goal,NA,o,22978,NA,8549,NA,NA,82,NA,1808
516571,goal,NA,p,23352,NA,8667,NA,NA,85,NA,1808
526644,goal,header,n,40132,23352,8667,NA,NA,12,NA,1809
526804,goal,NA,o,30617,NA,8650,NA,NA,22,NA,1809
526841,goal,shot,n,30618,37139,8650,NA,NA,24,NA,1809
526956,goal,shot,n,30618,24800,8650,NA,NA,32,NA,1809
526805,goal,header,n,30988,17866,8472,NA,NA,22,NA,1810
526830,goal,loose_ball,n,30988,NA,8472,NA,NA,24,NA,1810
527071,goal,header,n,17866,38802,8472,NA,NA,40,NA,1810
527336,goal,NA,p,33418,NA,8472,NA,NA,47,NA,1810
528443,goal,shot,dg,30893,NA,10260,NA,NA,54,NA,1811
526708,goal,NA,n,34261,23934,8559,NA,NA,17,NA,1812
526848,goal,shot,n,23264,43280,10252,NA,NA,25,NA,1812
527075,goal,NA,o,23934,NA,8559,NA,NA,40,NA,1812
527657,goal,header,n,23264,23354,10252,NA,NA,67,NA,1812
527847,goal,shot,n,23354,23264,10252,NA,NA,78,NA,1812
527957,goal,header,n,23934,26454,8559,NA,NA,86,NA,1812
525965,goal,header,n,30960,30613,9825,NA,NA,17,NA,1813
526021,goal,header,n,24753,42183,8549,NA,NA,29,NA,1813
528068,goal,header,n,30876,24006,8668,NA,NA,90,2,1814
529766,goal,shot,n,30619,33852,10261,NA,NA,52,NA,1815
529875,goal,shot,n,37799,37475,10261,NA,NA,77,NA,1815
529965,goal,shot,n,40565,24225,10261,NA,NA,89,NA,1815
526631,goal,shot,n,34466,35327,8528,NA,NA,10,NA,1817
526652,goal,shot,n,35327,34987,8528,NA,NA,12,NA,1817
527852,goal,shot,n,25150,35327,8528,NA,NA,77,NA,1817
530412,goal,shot,n,33781,37169,8654,NA,NA,33,NA,1818
530541,goal,shot,n,37804,30631,8455,NA,NA,51,NA,1818
551304,goal,shot,n,30829,30893,10260,NA,NA,1,NA,1819
537057,goal,shot,n,30843,26181,9825,NA,NA,24,NA,1820
537174,goal,volley,n,24635,25984,8650,NA,NA,42,NA,1820
534892,goal,NA,o,30687,NA,8654,NA,NA,78,NA,1821
538430,goal,loose_ball,dg,36012,NA,8668,NA,NA,84,NA,1822
536546,goal,shot,n,29581,24224,10261,NA,NA,12,NA,1823
536706,goal,shot,n,31097,NA,8586,NA,NA,29,NA,1823
537204,goal,shot,n,34574,30623,10261,NA,NA,90,NA,1823
533678,goal,NA,p,34947,NA,8655,NA,NA,9,NA,1824
533744,goal,loose_ball,n,34176,NA,8655,NA,NA,18,NA,1824
533827,goal,loose_ball,n,34947,34176,8655,NA,NA,27,NA,1824
533947,goal,loose_ball,n,24843,24741,9879,NA,NA,41,NA,1825
534100,goal,NA,p,30338,NA,9879,NA,NA,54,NA,1825
534148,goal,shot,n,30956,30338,9879,NA,NA,59,NA,1825
533619,goal,shot,n,24372,24336,8559,NA,NA,1,NA,1826
533638,goal,shot,n,23937,24372,8559,NA,NA,3,NA,1826
533762,goal,header,n,30830,38820,8462,NA,NA,20,NA,1826
536437,goal,shot,n,23788,24171,8659,NA,NA,69,NA,1827
536483,goal,NA,dg,41073,NA,8659,NA,NA,77,NA,1827
536567,goal,NA,o,36373,NA,8659,NA,NA,84,NA,1827
536643,goal,header,n,32570,31731,8659,NA,NA,90,3,1827
533696,goal,distance,n,38802,24408,8472,NA,NA,10,NA,1828
533761,goal,shot,n,23025,NA,8667,NA,NA,19,NA,1828
534247,goal,shot,dg,26143,NA,8667,NA,NA,73,NA,1828
534294,goal,NA,o,26066,NA,8667,NA,NA,78,NA,1828
534347,goal,header,n,30988,38802,8472,NA,NA,84,NA,1828
534406,goal,shot,n,33418,30954,8472,NA,NA,90,1,1828
539657,goal,shot,n,37920,30618,8650,NA,NA,26,NA,1829
